Date,Open,Low,High,Close,Volume,OI
2019/3/22,283.220001,279.179993,283.799988,279.25,122659300,0
2019/3/25,278.869995,277.640015,280.190002,279.040009,85575200,0
2019/3/26,280.98999,279.559998,282.179993,281.119995,68125900,0
2019/3/27,281.109985,277.929993,281.76001,279.649994,72224700,0
2019/3/28,280.350006,279.070007,281.209991,280.709991,56238500,0
2019/3/29,282.390015,281.140015,282.839996,282.480011,82186800,0
2019/4/1,284.700012,284.399994,286.160004,285.829987,77617900,0
2019/4/2,286.040009,285.089996,286.230011,285.970001,40070400,0
2019/4/3,287.320007,285.75,287.76001,286.420013,68243200,0
2019/4/4,286.779999,286.01001,287.459991,287.179993,48997500,0
2019/4/5,287.920013,287.600006,288.630005,288.570007,58621700,0
2019/4/8,288.100006,287.369995,288.910004,288.790009,53566300,0
2019/4/9,287.720001,286.700012,288.079987,287.309998,66142300,0
2019/4/10,287.769989,287.309998,288.390015,288.290009,52601500,0
2019/4/11,288.829987,287.579987,288.839996,288.209991,55093100,0
2019/4/12,290,288.26001,290.470001,290.160004,69727800,0
2019/4/15,290.23999,289.079987,290.350006,289.970001,49596700,0
2019/4/16,290.950012,289.5,291.01001,290.160004,52153200,0
2019/4/17,291.399994,288.98999,291.429993,289.450012,58268300,0
2019/4/18,290.100006,288.660004,290.320007,290.019989,68708500,0
2019/4/22,289.170013,289.070007,290.440002,290.269989,40160100,0
2019/4/23,290.679993,290.420013,293.140015,292.880005,52246600,0
2019/4/24,292.790009,292.070007,293.160004,292.230011,50392900,0
2019/4/25,292.119995,290.730011,292.779999,292.049988,57770900,0
2019/4/26,292.100006,291.23999,293.48999,293.410004,50916400,0
2019/4/29,293.51001,293.410004,294.450012,293.869995,57197700,0
2019/4/30,293.48999,291.920013,294.339996,294.019989,81111700,0
2019/5/1,294.720001,291.799988,294.950012,291.809998,71671900,0
2019/5/2,291.679993,289.519989,292.700012,291.179993,65030200,0
2019/5/3,292.820007,291.299988,294.339996,294.029999,56543700,0
2019/5/6,289.25,288.899994,293.309998,292.820007,107198100,0
2019/5/7,290.149994,285.809998,290.809998,287.929993,144729900,0
2019/5/8,287.529999,286.869995,289.429993,287.529999,91568300,0
2019/5/9,285.230011,283.299988,287.329987,286.660004,103471100,0
2019/5/10,285.619995,282.299988,288.940002,288.100006,112429300,0
2019/5/13,282.420013,279.929993,283.48999,280.859985,127290500,0
2019/5/14,281.98999,281.850006,285.100006,283.399994,77003200,0
2019/5/15,281.589996,281.359985,285.769989,285.059998,73956400,0
2019/5/16,285.839996,285.76001,289.209991,287.700012,76749600,0
2019/5/17,285.140015,285.119995,288.600006,285.839996,100353000,0
2019/5/20,284.059998,283.119995,285.959991,283.950012,62877600,0
2019/5/21,285.829987,285.549988,286.929993,286.51001,46847100,0
2019/5/22,285.450012,285.100006,286.690002,285.630005,49482500,0
2019/5/23,283.160004,280.570007,283.209991,282.140015,98733800,0
2019/5/24,283.73999,282.089996,284.200012,282.779999,55268100,0
2019/5/28,283.089996,280.130005,284.149994,280.149994,70029400,0
2019/5/29,278.910004,276.709991,279.359985,278.269989,104972900,0
2019/5/30,279.109985,277.809998,280.040009,279.029999,62523800,0
2019/5/31,276.200012,275.23999,277.119995,275.269989,86862800,0
2019/6/3,275.309998,273.089996,276.549988,274.570007,96428000,0
2019/6/4,277.119995,276.619995,280.679993,280.529999,77231900,0
2019/6/5,282.329987,280.320007,282.98999,282.959991,71169700,0
2019/6/6,283.290009,282.570007,285.549988,284.799988,69430400,0
2019/6/7,285.929993,285.73999,288.850006,287.649994,74272200,0
2019/6/10,289.369995,288.869995,290.820007,288.970001,60799100,0
2019/6/11,290.98999,288.179993,291.399994,288.899994,58641300,0
2019/6/12,288.640015,287.820007,289.26001,288.390015,47096300,0
2019/6/13,289.399994,288.619995,289.980011,289.579987,48945200,0
2019/6/14,289.26001,288.410004,289.929993,289.26001,52324700,0
2019/6/17,289.519989,289.179993,290.220001,289.369995,39205700,0
2019/6/18,291.390015,290.98999,293.570007,292.399994,85434800,0
